# wavelength	flux
5.327716663292310386e+02	1.087659845679491213e-14
5.327915994206081223e+02	5.555206715777494600e-15
5.328115325119853196e+02	3.910602886707335163e-15
5.328314656033625170e+02	2.253923332424644793e-14
5.328513986947397143e+02	-5.597630784457199860e-15
5.328713317861169116e+02	5.179827124542806319e-15
5.328912648774941090e+02	7.508384647532395650e-15
5.329111979688711926e+02	-2.752340388478650979e-16
5.329311310602483900e+02	7.179134152967821345e-16
5.329510641516255873e+02	-1.524644693739400474e-15
5.329709972430027847e+02	-7.554043958554138710e-15
5.329909303343799820e+02	4.922308356270291285e-15
5.330108634257571794e+02	-7.054763775926880393e-16
5.330307965171342630e+02	-1.087682524986653947e-15
5.330507296085114604e+02	1.006313681337208873e-14
5.330706626998886577e+02	5.079034862500754477e-15
5.330905957912658550e+02	4.565917126130676282e-15
5.331105288826430524e+02	-2.263728797580297387e-15
5.331304619740202497e+02	1.531893644053650139e-14
5.331503950653974471e+02	1.532389671841518177e-16
5.331703281567745307e+02	1.174729136360663003e-15
5.331902612481517281e+02	2.223516967200583547e-15
5.332101943395289254e+02	1.181887178863848600e-14
5.332301274309061228e+02	1.180113153059119194e-14
5.332500605222833201e+02	1.562468526482567628e-15
5.332699936136605174e+02	2.487043528409736519e-15
5.332899267050376011e+02	7.033324313240689983e-16
5.333098597964147984e+02	1.467366208263696549e-15
5.333297928877919958e+02	1.539094017028374770e-15
5.333497259791691931e+02	-5.291291472324670311e-16
5.333696590705463905e+02	5.973928982923185430e-15
5.333895921619235878e+02	7.462046598422105879e-17
5.334095252533006715e+02	-3.323342503579515940e-16
5.334294583446778688e+02	4.995940506858633987e-15
5.334493914360550662e+02	-3.945587888527779530e-15
5.334693245274322635e+02	-2.185986234326945982e-16
5.334892576188094608e+02	1.109552005124341684e-14
5.335091907101866582e+02	4.086388057767493739e-15
5.335291238015637418e+02	-1.185643579402508290e-15
5.335490568929409392e+02	4.817865805742047036e-15
5.335689899843181365e+02	1.013876499710063619e-14
5.335889230756953339e+02	4.530123631362077685e-15
5.336088561670725312e+02	-7.269075817076427193e-15
5.336287892584497285e+02	3.844126470457396791e-15
5.336487223498268122e+02	-3.100605608038781852e-15
5.336686554412040095e+02	-2.950104582212400954e-15
5.336885885325812069e+02	-6.302688727773944274e-15
5.337085216239584042e+02	1.875206854894248196e-15
5.337284547153356016e+02	-4.554925179574157226e-15
5.337483878067127989e+02	2.867588538315018337e-15
5.337683208980898826e+02	2.903752398239803877e-15
5.337882539894670799e+02	5.357228222708089287e-16
5.338081870808442773e+02	3.237562577038566487e-15
5.338281201722214746e+02	-2.261722494165607170e-16
5.338480532635986719e+02	3.836306662288345090e-15
5.338679863549758693e+02	-6.575264777233325378e-15
5.338879194463529529e+02	1.176837846058676265e-14
5.339078525377301503e+02	-2.124331738417709926e-15
5.339277856291073476e+02	3.816209270367519916e-16
5.339477187204845450e+02	1.104851819300027571e-14
5.339676518118617423e+02	1.820076656731017990e-15
5.339875849032389397e+02	7.902490443164982004e-15
5.340075179946160233e+02	-2.851565427810045551e-15
5.340274510859932207e+02	-2.945920504150760727e-16
5.340473841773704180e+02	7.500594485516497850e-15
5.340673172687476153e+02	-1.452424504722483328e-14
5.340872503601248127e+02	-6.327481805656551272e-15
5.341071834515020100e+02	-6.542067438448061212e-15
5.341271165428790937e+02	1.080668520436148944e-14
5.341470496342562910e+02	4.525958346843954663e-15
5.341669827256334884e+02	-1.893560153037117562e-15
5.341869158170106857e+02	2.420507184578779905e-15
5.342068489083878831e+02	4.121484020904028420e-15
5.342267819997650804e+02	6.014380735385209051e-15
5.342467150911421641e+02	4.016850887962651953e-15
5.342666481825193614e+02	1.145493815362004508e-14
5.342865812738965587e+02	-4.148488701811916396e-15
5.343065143652737561e+02	9.091435015842058709e-15
5.343264474566509534e+02	1.352470530012505386e-15
5.343463805480281508e+02	5.604183854853632754e-15
5.343663136394053481e+02	-1.321144223480254926e-14
5.343862467307824318e+02	-1.907276581068480074e-15
5.344061798221596291e+02	-2.514399516232498216e-15
5.344261129135368265e+02	6.704580026741218529e-15
5.344460460049140238e+02	5.032341853646005950e-16
5.344659790962912211e+02	8.284628510285812347e-15
5.344859121876684185e+02	3.278623981464376391e-15
5.345058452790455021e+02	8.523974451372782384e-17
5.345257783704226995e+02	9.734283894897131917e-15
5.345457114617998968e+02	7.379032552091296937e-15
5.345656445531770942e+02	-4.808649663759446621e-15
5.345855776445542915e+02	8.808206680038007524e-15
5.346055107359314889e+02	-1.590428237038484828e-15
5.346254438273085725e+02	-5.211174993357520322e-17
5.346453769186857699e+02	-9.070650521382332687e-15
5.346653100100629672e+02	6.977940428709757115e-15
5.346852431014401645e+02	5.741143576710495966e-15
5.347051761928173619e+02	1.474016793328182095e-15
5.347251092841945592e+02	-2.220357110790851379e-15
5.347450423755716429e+02	1.668446430106828703e-15
5.347649754669488402e+02	-6.042744480656966552e-15
5.347849085583260376e+02	5.302657595685638953e-16
5.348048416497032349e+02	1.056653272909005570e-14
5.348247747410804322e+02	-3.940086409535362849e-15
5.348447078324576296e+02	5.874456715850311008e-17
5.348646409238347132e+02	6.511969816733274158e-15
5.348845740152119106e+02	2.434936602593493725e-15
5.349045071065891079e+02	-5.091011484858456657e-15
5.349244401979663053e+02	1.966220968593196394e-15
5.349443732893435026e+02	1.993439948836739709e-15
5.349643063807207000e+02	2.419977577228509154e-15
5.349842394720977836e+02	2.712221943481371925e-15
5.350041725634749810e+02	9.114188014871203725e-15
5.350241056548521783e+02	7.311292468563173556e-16
5.350440387462293756e+02	-1.170365582605411431e-14
5.350639718376065730e+02	1.229378029227439634e-14
5.350839049289837703e+02	2.675533981920472787e-15
5.351038380203608540e+02	8.524729316547463576e-15
